Step,PercentReduction,KLdivergence_Cumulative,KLdivergence_Current
0,0.0,3.0490645705691346,3.0490645705691346
1,0.19913934143756976,11.174275519626745,11.174275519626745
1,0.19250718838096448,11.987399796602402,11.987399796602402
2,0.287152787470731,13.11687175409749,13.118756442414382
2,0.2546051167759548,13.53425583463149,13.545571027627858
3,0.3484959929627678,13.865312713308526,13.834401773219193
3,0.2911131564721223,14.186234491855414,14.225364050548627
4,0.3961562623681066,14.259652237772242,14.195173275882672
4,0.3187709308899975,14.532314275902646,14.540836091233258
5,0.43222466143425975,14.521836646657592,14.536920313462012
5,0.33873097592992296,14.754271599096445,14.768440989523027
6,0.46242676049512266,14.699632037248328,14.724441036971932
6,0.35468825594368186,14.893990732638938,14.873192566123786
7,0.49108035442025166,14.820850301678918,14.76673365313079
7,0.37108207911837476,14.971732454989537,14.871627505284483
8,0.5180579810999367,14.908769808936766,14.804656318252922
8,0.3875486930388211,15.017945269885121,14.89391723295106
9,0.5461374342496151,14.966654701316527,14.793586620654677
9,0.40120367181731964,15.046029879549424,14.964456411302672
10,0.5710413982533423,15.0157068444606,14.89622984519948
10,0.4140412793645878,15.066231481443664,15.02722916925755
11,0.5880451819613197,15.065418228256695,15.153547548747179
11,0.42529401920627175,15.089364839769473,15.144740355062277
12,0.6038590057855668,15.10564368736044,15.201874225316056
12,0.4327643054142249,15.117691627006952,15.28349821292951
13,0.6213965205418258,15.133402210234879,15.163227074561696
13,0.43927329356145944,15.145626972346207,15.340166752828825
14,0.6402167338022199,15.150087429902332,15.135584489441417
14,0.4468395883137199,15.169723197324318,15.33099466815587
15,0.6568202928412389,15.161500243335865,15.153298178532706
15,0.45474959006396737,15.186160176751848,15.326994337770278
16,0.6692584087135883,15.177843569282093,15.307861636072639
16,0.46091935532856737,15.198215123176931,15.358885682808003
17,0.6826901280749766,15.18878923479528,15.29692506591905
17,0.4650241494534636,15.211988002521048,15.42711088387037
18,0.6994565441891728,15.190836027013075,15.218294328471258
18,0.4696117311257263,15.223125066933022,15.447896800983958
19,0.7128249204065127,15.194182175542142,15.254315691946317
19,0.4750802076659847,15.22734249503957,15.412644227434502
20,0.7238393505858024,15.198266259500517,15.300081418071539
20,0.4808093987177443,15.228640275803578,15.40412555889341
21,0.736869855176503,15.201001618300854,15.32260204763899
21,0.4852682009957987,15.232471339148233,15.451340000896817
22,0.7484352796043529,15.204521444724227,15.382517503012593
22,0.4882733274663541,15.23706320492712,15.485936356070859
23,0.7560925914710614,15.210271756672926,15.49037633049064
23,0.4911989204163847,15.240569133029279,15.49381897057115
24,0.7649391415784283,15.21369606846854,15.479431192162906
24,0.49410769815399896,15.24566944008836,15.513317193720544
25,0.7773491459967096,15.210289097606392,15.398719271859377
25,0.4961204048705082,15.253781005869511,15.56314182620396
26,0.7877424413021339,15.206535907511697,15.441506907651519
26,0.49864595901424125,15.25963022817486,15.568966732555124
27,0.7971082672066393,15.20286659242464,15.464024087620778
27,0.5036327194698181,15.259257654477024,15.470035866453443
28,0.8100654232139232,15.196918013160605,15.401130242774023
28,0.5103308172750941,15.256670562463475,15.442751555766932
29,0.8264551480760456,15.18886857090637,15.343750322939691
29,0.5155463708919571,15.256338066362192,15.496263214481276
30,0.838799656443436,15.182972739316355,15.449914680816804
30,0.5196201406171624,15.25630524951954,15.516808201452376
31,0.8479354622299656,15.179428541213959,15.56582395758446
31,0.5233710462559664,15.257594283344837,15.54583414254014
32,0.8573536288686678,15.175361496865264,15.55536920621791
32,0.52853811836042,15.254816347063048,15.478525282847652
33,0.8649224923977357,15.171767519173446,15.566038608273528
33,0.5352709636025192,15.247891892796744,15.416118253776636
34,0.8704539444238429,15.170275227463598,15.575488743399251
34,0.5416302878686671,15.241081822334785,15.426284211445996
35,0.8756616140934336,15.17176599641621,15.61900122544459
35,0.547266362478646,15.236101627924269,15.452721367985491
